rial_reward,dqn_reward,collisions,distance,winner,rial_smooth,dqn_smooth
-38.196981428896436,-76.39396285779283,1.0,2.0179157,rial,,
-71.57215232444652,-143.14430464889307,1.0,1.5928338,rial,,
-45.65010537347518,-91.30021074695033,2.0,0.8981561,rial,,
-49.29983270215382,-98.59966540430763,17.0,1.4477286,rial,,
-34.893591572019375,-69.78718314403876,0.0,2.161266,rial,,
-46.780005828802906,-93.56001165760584,0.0,2.1380887,rial,,
-45.17774632104183,-92.35549264208368,0.0,2.5343983,rial,,
-38.94621117382096,-77.89242234764191,0.0,2.1475577,rial,,
-44.71377729809615,-87.92755459619232,0.0,1.5261109,rial,,
-48.78700477351229,-96.0740095470246,0.0,2.7011523,rial,,
-52.694197058712554,-105.3883941174251,9.0,1.4975574,rial,,
-32.09682456773114,-65.19364913546228,0.0,2.364852,rial,,
-43.05371156826901,-86.107423136538,0.0,2.466681,rial,,
-34.657056978103874,-69.31411395620776,0.0,2.1537561,rial,,
-49.34225264340663,-98.68450528681325,0.0,2.2340815,rial,,
-31.093440259671773,-62.18688051934355,0.0,2.1653786,rial,,
-43.24743579773043,-86.49487159546086,0.0,2.5950477,rial,,
-28.772799181313808,-57.54559836262764,5.0,1.1798116,rial,,
-37.192184760317105,-74.38436952063424,0.0,1.322232,rial,,
-43.901556574256475,-89.80311314851295,0.0,2.6692297,rial,,
-40.54927128287536,-81.0985425657507,0.0,2.226528,rial,,
-37.78082032840691,-75.56164065681382,0.0,2.2674186,rial,,
-58.00101839322379,-115.50203678644766,0.0,1.9272597,rial,,
-46.52757303584246,-93.05514607168493,0.0,2.2495813,rial,,
-34.905250897852774,-72.81050179570555,0.0,2.5931404,rial,,
-47.5525221103637,-95.10504422072738,0.0,2.4072511,rial,,
-51.69007074148521,-103.38014148297042,7.0,1.595872,rial,,
-61.496163160110505,-125.99232632022104,0.0,2.6500857,rial,,
-53.85911196222988,-107.71822392445975,11.0,1.6084416,rial,,
-44.64838069547882,-88.79676139095763,0.0,2.529395,rial,,
-37.3964453892606,-74.7928907785212,5.0,1.925586,rial,,
-49.0567210426976,-96.61344208539522,0.0,2.7240002,rial,,
-50.20094500384805,-100.40189000769607,0.0,1.5841461,rial,,
-53.229147456030525,-106.45829491206106,0.0,1.5792267,rial,,
-34.01025737842201,-68.02051475684402,0.0,2.4506702,rial,,
-34.95542783947795,-68.41085567895593,0.0,2.406142,rial,,
-47.24000624074497,-93.98001248148992,6.0,2.310394,rial,,
-32.650493143803885,-65.30098628760777,12.0,1.5282704,rial,,
-49.23293611926753,-98.46587223853503,0.0,2.1689374,rial,,
-53.384969328446374,-106.76993865689275,0.0,1.9266057,rial,,
-56.22781087141186,-110.95562174282375,1.0,2.3242195,rial,,
-49.295849313902934,-99.5916986278059,0.0,2.597455,rial,,
-53.83281861593012,-107.66563723186025,0.0,1.5792499,rial,,
-35.85745054642114,-70.71490109284225,0.0,2.208183,rial,,
-52.41861103316196,-104.83722206632392,0.0,2.6233404,rial,,
-53.56583599863332,-107.13167199726662,15.0,1.4562222,rial,,
-62.278528986918644,-123.05705797383729,0.0,2.0301337,rial,,
-59.033131041305865,-118.06626208261173,3.0,1.2204133,rial,,
-35.8292350652738,-71.65847013054757,3.0,2.0691316,rial,,
-52.06785921165202,-103.63571842330406,3.0,1.6413367,rial,,
-25.959806146922396,-51.41961229384479,0.0,1.8125824,rial,,
-64.13844208610777,-127.2768841722155,1.0,1.6237143,rial,,
-27.22237214660822,-54.444744293216445,0.0,2.318,rial,,
-63.46683000647291,-126.93366001294584,0.0,1.6276708,rial,,
-37.152086118576605,-80.30417223715321,2.0,1.7613542,rial,,
-41.88921393618397,-83.27842787236797,0.0,2.2879784,rial,,
-47.06928740078952,-93.13857480157904,0.0,2.0281844,rial,,
-41.87402184241073,-83.24804368482145,0.0,2.6715364,rial,,
-46.22082047348938,-90.4416409469788,0.0,2.531397,rial,,
-64.34062542083633,-128.68125084167266,7.0,1.6035901,rial,,
-36.92115898436569,-73.84231796873135,0.0,2.480594,rial,,
-49.98557643437059,-106.47115286874119,2.0,2.3092878,rial,,
-52.3262268496969,-104.65245369939385,0.0,2.2329438,rial,,
-47.51608566298511,-95.03217132597021,0.0,2.359597,rial,,
-56.80885148049325,-113.11770296098652,6.0,1.5120001,rial,,
